id,Journal,Category,JIF,Matched Journal*,Matched Category,Matched JIF,Notes,
101,Acta Psychologica,"PSYCHOLOGY; PSYCHOLOGY, EXPERIMENTAL",3.8,Emotion,"PSYCHOLOGY, EXPERIMENTAL",3.8,,
102,Advances in Methods and Practices in Psychological Science,"PSYCHOLOGY; PSYCHOLOGY, MULTIDISCIPLINARY",14.6,Psychological Methods,"PSYCHOLOGY, MULTIDISCIPLINARY",7.5,,
103,Analyses of Social Issues and Public Policy,"SOCIAL ISSUES; PSYCHOLOGY, SOCIAL",1.4,Peace and Conflict-Journal of Peace Psychology,"PSYCHOLOGY, SOCIAL",1.4,,
104,Applied Cognitive Psychology,"PSYCHOLOGY, EXPERIMENTAL",1.8,Memory & Cognition,"PSYCHOLOGY, EXPERIMENTAL",1.8,,
105,Attention Perception & Psychophysics,"PSYCHOLOGY; PSYCHOLOGY, EXPERIMENTAL",2.2,Language Cognition and Neuroscience,"LINGUISTICS; PSYCHOLOGY, EXPERIMENTAL; AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY; BEHAVIORAL SCIENCES",2.2,,
106,British Journal of Educational Psychology,"PSYCHOLOGY, EDUCATIONAL",4.5,Journal of School Psychology,"PSYCHOLOGY, EDUCATIONAL",4,,
107,British Journal of Health Psychology,"PSYCHOLOGY, CLINICAL",3.1,Mental Health and Physical Activity,"PSYCHIATRY; PSYCHOLOGY, CLINICAL",3.1,,
108,British Journal of Psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",3.6,Motivation Science,"PSYCHOLOGY, MULTIDISCIPLINARY",3.6,,
109,British Journal of Social Psychology,"PSYCHOLOGY, SOCIAL",3.8,Journal of Cross-Cultural Psychology ,"PSYCHOLOGY, SOCIAL",3.6,,
110,Cognition and Emotion,"PSYCHOLOGY, EXPERIMENTAL",2.2,Motivation and Emotion,"PSYCHOLOGY, EXPERIMENTAL; PSYCHOLOGY, SOCIAL",2.5,,
111,Cognitive Research: Principles and Implications,"PSYCHOLOGY, EXPERIMENTAL",3.6,Social Cognitive and Affective Neuroscience,"PSYCHOLOGY; PSYCHOLOGY, EXPERIMENTAL; NEUROSCIENCES",3.6,,
112,Collabra,"PSYCHOLOGY, MULTIDISCIPLINARY",2.6,Current Psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",2.7,,
113,Consciousness and Cognition,"PSYCHOLOGY, EXPERIMENTAL",2.5,Cognitive Science,"PSYCHOLOGY, EXPERIMENTAL",2.5,,
114,Cortex,"PSYCHOLOGY, EXPERIMENTAL; NEUROSCIENCES; BEHAVIORAL SCIENCES",3.2,Cognition,"PSYCHOLOGY, EXPERIMENTAL",3.1,,
